Company Name,Industry,Symbol
Ipca Laboratories Ltd.,Healthcare,IPCALAB
J.B. Chemicals & Pharmaceuticals Ltd.,Healthcare,JBCHEPHARM
J.K. Cement Ltd.,Construction Materials,JKCEMENT
JK Lakshmi Cement Ltd.,Construction Materials,JKLAKSHMI
JK Paper Ltd.,Forest Materials,JKPAPER
JM Financial Ltd.,Financial Services,JMFINANCIL
JSW Energy Ltd.,Power,JSWENERGY
JSW Steel Ltd.,Metals & Mining,JSWSTEEL
Jamna Auto Industries Ltd.,Automobile and Auto Components,JAMNAAUTO
Jindal Stainless (Hisar) Ltd.,Capital Goods,JSLHISAR
Jindal Stainless Ltd.,Metals & Mining,JSL
Jindal Steel & Power Ltd.,Metals & Mining,JINDALSTEL
Jubilant Foodworks Ltd.,Consumer Services,JUBLFOOD
Jubilant Ingrevia Ltd.,Chemicals,JUBLINGREA
Jubilant Pharmova Ltd.,Healthcare,JUBLPHARMA
Justdial Ltd.,Consumer Services,JUSTDIAL
Jyothy Labs Ltd.,Fast Moving Consumer Goods,JYOTHYLAB
K.P.R. Mill Ltd.,Textiles,KPRMILL
KEI Industries Ltd.,Capital Goods,KEI
KNR Constructions Ltd.,Construction,KNRCON
KPIT Technologies Ltd.,Information Technology,KPITTECH
KRBL Ltd.,Fast Moving Consumer Goods,KRBL
Kajaria Ceramics Ltd.,Consumer Durables,KAJARIACER
Kalpataru Power Transmission Ltd.,Construction,KALPATPOWR
Kalyan Jewellers India Ltd.,Consumer Durables,KALYANKJIL
Kansai Nerolac Paints Ltd.,Consumer Durables,KANSAINER
Karur Vysya Bank Ltd.,Financial Services,KARURVYSYA
Kec International Ltd.,Capital Goods,KEC
Kotak Mahindra Bank Ltd.,Financial Services,KOTAKBANK
Krishna Institute of Medical Sciences Ltd.,Healthcare,KIMS
L&T Finance Holdings Ltd.,Financial Services,L&TFH
L&T Technology Services Ltd.,Information Technology,LTTS
LIC Housing Finance Ltd.,Financial Services,LICHSGFIN
Lakshmi Machine Works Ltd.,Capital Goods,LAXMIMACH
Larsen & Toubro Infotech Ltd.,Information Technology,LTI
Larsen & Toubro Ltd.,Construction,LT
Latent View Analytics Ltd.,Information Technology,LATENTVIEW
Laurus Labs Ltd.,Healthcare,LAURUSLABS
Laxmi Organic Industries Ltd.,Chemicals,LXCHEM
Linde India Ltd.,Chemicals,LINDEINDIA
Lupin Ltd.,Healthcare,LUPIN
Lux Industries Ltd.,Textiles,LUXIND
MMTC Ltd.,Services,MMTC
MOIL Ltd.,Metals & Mining,MOIL
MRF Ltd.,Automobile and Auto Components,MRF
MTAR Technologies Ltd.,Capital Goods,MTARTECH
Macrotech Developers Ltd.,Realty,LODHA
Mahanagar Gas Ltd.,Oil Gas & Consumable Fuels,MGL
Mahindra & Mahindra Financial Services Ltd.,Financial Services,M&MFIN
Mahindra & Mahindra Ltd.,Automobile and Auto Components,M&M
Mahindra CIE Automotive Ltd.,Automobile and Auto Components,MAHINDCIE
Mahindra Holidays & Resorts India Ltd.,Consumer Services,MHRIL
Mahindra Logistics Ltd.,Services,MAHLOG
Manappuram Finance Ltd.,Financial Services,MANAPPURAM
Mangalore Refinery & Petrochemicals Ltd.,Oil Gas & Consumable Fuels,MRPL
Marico Ltd.,Fast Moving Consumer Goods,MARICO
Maruti Suzuki India Ltd.,Automobile and Auto Components,MARUTI
Mastek Ltd.,Information Technology,MASTEK
Max Financial Services Ltd.,Financial Services,MFSL
Max Healthcare Institute Ltd.,Healthcare,MAXHEALTH
Mazagoan Dock Shipbuilders Ltd.,Capital Goods,MAZDOCK
Medplus Health Services Ltd.,Consumer Services,MEDPLUS
Metro Brands Ltd.,Consumer Durables,METROBRAND
Metropolis Healthcare Ltd.,Healthcare,METROPOLIS
MindTree Ltd.,Information Technology,MINDTREE
Minda Industries Ltd.,Automobile and Auto Components,MINDAIND
Motilal Oswal Financial Services Ltd.,Financial Services,MOTILALOFS
MphasiS Ltd.,Information Technology,MPHASIS
Multi Commodity Exchange of India Ltd.,Financial Services,MCX
Muthoot Finance Ltd.,Financial Services,MUTHOOTFIN
NATCO Pharma Ltd.,Healthcare,NATCOPHARM
NBCC (India) Ltd.,Construction,NBCC
NCC Ltd.,Construction,NCC
NESCO Ltd.,Services,NESCO
NHPC Ltd.,Power,NHPC
NLC India Ltd.,Power,NLCINDIA
NMDC Ltd.,Metals & Mining,NMDC
NOCIL Ltd.,Chemicals,NOCIL
NTPC Ltd.,Power,NTPC
Narayana Hrudayalaya Ltd.,Healthcare,NH
National Aluminium Co. Ltd.,Metals & Mining,NATIONALUM
Navin Fluorine International Ltd.,Chemicals,NAVINFLUOR
Nazara Technologies Ltd.,Media Entertainment & Publication,NAZARA
Nestle India Ltd.,Fast Moving Consumer Goods,NESTLEIND
Network18 Media & Investments Ltd.,Media Entertainment & Publication,NETWORK18
Nippon Life India Asset Management Ltd.,Financial Services,NAM-INDIA
Nuvoco Vistas Corporation Ltd.,Construction Materials,NUVOCO
Oberoi Realty Ltd.,Realty,OBEROIRLTY
Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,ONGC
Oil India Ltd.,Oil Gas & Consumable Fuels,OIL
One 97 Communications Ltd.,Financial Services,PAYTM
Oracle Financial Services Software Ltd.,Information Technology,OFSS
Orient Electric Ltd.,Consumer Durables,ORIENTELEC
PB Fintech Ltd.,Financial Services,POLICYBZR
PCBL Ltd.,Chemicals,PCBL
PI Industries Ltd.,Chemicals,PIIND
PNB Housing Finance Ltd.,Financial Services,PNBHOUSING
PNC Infratech Ltd.,Construction,PNCINFRA
PVR Ltd.,Media Entertainment & Publication,PVR
Page Industries Ltd.,Textiles,PAGEIND
Persistent Systems Ltd.,Information Technology,PERSISTENT
Petronet LNG Ltd.,Oil Gas & Consumable Fuels,PETRONET
Pfizer Ltd.,Healthcare,PFIZER
Phoenix Mills Ltd.,Realty,PHOENIXLTD
Pidilite Industries Ltd.,Chemicals,PIDILITIND
Piramal Enterprises Ltd.,Financial Services,PEL
Poly Medicure Ltd.,Healthcare,POLYMED
Polycab India Ltd.,Capital Goods,POLYCAB
Polyplex Corporation Ltd.,Capital Goods,POLYPLEX
Poonawalla Fincorp Ltd.,Financial Services,POONAWALLA
Power Finance Corporation Ltd.,Financial Services,PFC
Power Grid Corporation of India Ltd.,Power,POWERGRID
Praj Industries Ltd.,Capital Goods,PRAJIND
Prestige Estates Projects Ltd.,Realty,PRESTIGE
Prince Pipes and Fittings Ltd.,Capital Goods,PRINCEPIPE
Prism Johnson Ltd.,Construction Materials,PRSMJOHNSN
Privi Speciality Chemicals Ltd.,Chemicals,PRIVISCL
Procter & Gamble Health Ltd.,Healthcare,PGHL
Procter & Gamble Hygiene & Health Care Ltd.,Fast Moving Consumer Goods,PGHH
Punjab National Bank,Financial Services,PNB
Quess Corp Ltd.,Services,QUESS
RBL Bank Ltd.,Financial Services,RBLBANK
REC Ltd.,Financial Services,RECLTD
RHI MAGNESITA INDIA LTD.,Capital Goods,RHIM
RITES Ltd.,Construction,RITES
Radico Khaitan Ltd,Fast Moving Consumer Goods,RADICO
Rail Vikas Nigam Ltd.,Construction,RVNL
Railtel Corporation Of India Ltd.,Telecommunication,RAILTEL
Rain Industries Ltd,Chemicals,RAIN
Rajesh Exports Ltd.,Consumer Durables,RAJESHEXPO
Rallis India Ltd.,Chemicals,RALLIS
Rashtriya Chemicals & Fertilizers Ltd.,Chemicals,RCF
Ratnamani Metals & Tubes Ltd.,Capital Goods,RATNAMANI
RattanIndia Enterprises Ltd.,Services,RTNINDIA
Redington (India) Ltd.,Services,REDINGTON
Relaxo Footwears Ltd.,Consumer Durables,RELAXO
Reliance Industries Ltd.,Oil Gas & Consumable Fuels,RELIANCE
Restaurant Brands Asia Ltd.,Consumer Services,RBA
Rossari Biotech Ltd.,Chemicals,ROSSARI
Route Mobile Ltd.,Telecommunication,ROUTE
SBI Cards and Payment Services Ltd.,Financial Services,SBICARD
SBI Life Insurance Company Ltd.,Financial Services,SBILIFE
SIS Ltd.,Services,SIS
SJVN Ltd.,Power,SJVN
SKF India Ltd.,Capital Goods,SKFINDIA
SRF Ltd.,Chemicals,SRF
Sanofi India Ltd.,Healthcare,SANOFI
Sapphire Foods India Ltd.,Consumer Services,SAPPHIRE
Saregama India Ltd,Media Entertainment & Publication,SAREGAMA
Schaeffler India Ltd.,Automobile and Auto Components,SCHAEFFLER
Sequent Scientific Ltd.,Healthcare,SEQUENT
Sheela Foam Ltd.,Consumer Durables,SFL
Shilpa Medicare Ltd.,Healthcare,SHILPAMED
Shipping Corporation of India Ltd.,Services,SCI
Shree Cement Ltd.,Construction Materials,SHREECEM
Shree Renuka Sugars Ltd.,Fast Moving Consumer Goods,RENUKA
Shriram City Union Finance Ltd.,Financial Services,SHRIRAMCIT
Shriram Transport Finance Co. Ltd.,Financial Services,SRTRANSFIN
Shyam Metalics and Energy Ltd.,Metals & Mining,SHYAMMETL
Siemens Ltd.,Capital Goods,SIEMENS
Sobha Ltd.,Realty,SOBHA
Solar Industries India Ltd.,Chemicals,SOLARINDS
Solara Active Pharma Sciences Ltd.,Healthcare,SOLARA
Sona BLW Precision Forgings Ltd.,Automobile and Auto Components,SONACOMS
Sonata Software Ltd.,Information Technology,SONATSOFTW
Spicejet Ltd.,Services,SPICEJET
Star Health and Allied Insurance Company Ltd.,Financial Services,STARHEALTH
State Bank of India,Financial Services,SBIN
Steel Authority of India Ltd.,Metals & Mining,SAIL
Sterling and Wilson Renewable Energy Ltd.,Construction,SWSOLAR
Sterlite Technologies Ltd.,Telecommunication,STLTECH
Strides Pharma Science Ltd.,Healthcare,STAR
Sudarshan Chemical Industries Ltd.,Chemicals,SUDARSCHEM
Sumitomo Chemical India Ltd.,Chemicals,SUMICHEM
Sun Pharma Advanced Research Company Ltd.,Healthcare,SPARC
Sun Pharmaceutical Industries Ltd.,Healthcare,SUNPHARMA
Sun TV Network Ltd.,Media Entertainment & Publication,SUNTV
Sundaram Finance Ltd.,Financial Services,SUNDARMFIN
Sundram Fasteners Ltd.,Automobile and Auto Components,SUNDRMFAST
Sunteck Realty Ltd.,Realty,SUNTECK
Suprajit Engineering Ltd.,Automobile and Auto Components,SUPRAJIT
Supreme Industries Ltd.,Capital Goods,SUPREMEIND
Suven Pharmaceuticals Ltd.,Healthcare,SUVENPHAR
Suzlon Energy Ltd.,Capital Goods,SUZLON
Symphony Ltd.,Consumer Durables,SYMPHONY
Syngene International Ltd.,Healthcare,SYNGENE
TCI Express Ltd.,Services,TCIEXP
TCNS Clothing Co. Ltd.,Textiles,TCNSBRANDS
TTK Prestige Ltd.,Consumer Durables,TTKPRESTIG
TV18 Broadcast Ltd.,Media Entertainment & Publication,TV18BRDCST
TVS Motor Company Ltd.,Automobile and Auto Components,TVSMOTOR
Tanla Platforms Ltd.,Information Technology,TANLA
Tata Chemicals Ltd.,Chemicals,TATACHEM
Tata Coffee Ltd.,Fast Moving Consumer Goods,TATACOFFEE
Tata Communications Ltd.,Telecommunication,TATACOMM
Tata Consultancy Services Ltd.,Information Technology,TCS
Tata Consumer Products Ltd.,Fast Moving Consumer Goods,TATACONSUM
Tata Elxsi Ltd.,Information Technology,TATAELXSI
Tata Investment Corporation Ltd.,Financial Services,TATAINVEST
Tata Motors Ltd DVR,Automobile and Auto Components,TATAMTRDVR
Tata Motors Ltd.,Automobile and Auto Components,TATAMOTORS
Tata Power Co. Ltd.,Power,TATAPOWER
Tata Steel Long Products Ltd.,Capital Goods,TATASTLLP
Tata Steel Ltd.,Metals & Mining,TATASTEEL
Tata Teleservices (Maharashtra) Ltd.,Telecommunication,TTML
Teamlease Services Ltd.,Services,TEAMLEASE
Tech Mahindra Ltd.,Information Technology,TECHM
The New India Assurance Company Ltd.,Financial Services,NIACL
The Ramco Cements Ltd.,Construction Materials,RAMCOCEM
Thermax Ltd.,Capital Goods,THERMAX
Thyrocare Technologies Ltd.,Healthcare,THYROCARE
Timken India Ltd.,Capital Goods,TIMKEN
Titan Company Ltd.,Consumer Durables,TITAN
Torrent Pharmaceuticals Ltd.,Healthcare,TORNTPHARM
Torrent Power Ltd.,Power,TORNTPOWER
Trent Ltd.,Consumer Services,TRENT
Trident Ltd.,Textiles,TRIDENT
Triveni Turbine Ltd.,Capital Goods,TRITURBINE
Tube Investments of India Ltd.,Automobile and Auto Components,TIINDIA
UCO Bank,Financial Services,UCOBANK
UFLEX Ltd.,Capital Goods,UFLEX
UPL Ltd.,Chemicals,UPL
UTI Asset Management Company Ltd.,Financial Services,UTIAMC
UltraTech Cement Ltd.,Construction Materials,ULTRACEMCO
Union Bank of India,Financial Services,UNIONBANK
United Breweries Ltd.,Fast Moving Consumer Goods,UBL
United Spirits Ltd.,Fast Moving Consumer Goods,MCDOWELL-N
V-Guard Industries Ltd.,Consumer Durables,VGUARD
V-Mart Retail Ltd.,Consumer Services,VMART
V.I.P. Industries Ltd.,Consumer Durables,VIPIND
Vaibhav Global Ltd.,Consumer Services,VAIBHAVGBL
Vakrangee Ltd.,Information Technology,VAKRANGEE
Vardhman Textiles Ltd.,Textiles,VTL
Varroc Engineering Ltd.,Automobile and Auto Components,VARROC
Varun Beverages Ltd.,Fast Moving Consumer Goods,VBL
Vedanta Ltd.,Metals & Mining,VEDL
Venky's (India) Ltd.,Fast Moving Consumer Goods,VENKEYS
Vijaya Diagnostic Centre Ltd.,Healthcare,VIJAYA
Vinati Organics Ltd.,Chemicals,VINATIORGA
Vodafone Idea Ltd.,Telecommunication,IDEA
Voltas Ltd.,Consumer Durables,VOLTAS
Welspun Corp Ltd.,Capital Goods,WELCORP
Welspun India Ltd.,Textiles,WELSPUNIND
Westlife Development Ltd.,Consumer Services,WESTLIFE
Whirlpool of India Ltd.,Consumer Durables,WHIRLPOOL
Wipro Ltd.,Information Technology,WIPRO
Wockhardt Ltd.,Healthcare,WOCKPHARMA
Yes Bank Ltd.,Financial Services,YESBANK
ZF Commercial Vehicle Control Systems India Ltd.,Automobile and Auto Components,ZFCVINDIA
Zee Entertainment Enterprises Ltd.,Media Entertainment & Publication,ZEEL
Zensar Technolgies Ltd.,Information Technology,ZENSARTECH
Zomato Ltd.,Consumer Services,ZOMATO
Zydus Lifesciences Ltd.,Healthcare,ZYDUSLIFE
Zydus Wellness Ltd.,Fast Moving Consumer Goods,ZYDUSWELL
eClerx Services Ltd.,Services,ECLERX
